,0,1,2,3,4
28,"EXCL: Bournemouth are closing in on deal to sign Ukrainian centre back Ilya Zabarnyi from Dinamo Kiev, here we go expected soon 🚨🍒🇺🇦 #DeadlineDay

Deal set to be agreed, Zabarnyi will fly to England on Tuesday to sign and undergo medical tests. https://t.co/I5r2xD1PTB",15979,2023-01-30 22:18:35+00:00,https://t.co/TiQMyMWhwq,['http://pbs.twimg.com/media/FnwNaxkWYAAEhzc.jpg']
29,"Nottingham Forest are set to complete the signing of Felipe from Atlético, here we go — agreement until June 2024 on permanent deal 🔴🌳 #NFFC

Medical tests scheduled on Tuesday for the centre back. https://t.co/bJPUEM5f7d",17257,2023-01-30 21:41:05+00:00,https://t.co/lpeK1Wk4zq,['http://pbs.twimg.com/media/FnwE1dcaIAAsB6s.jpg']
30,"Bournemouth are set to sign Hamed Traoré from Sassuolo, confirmed and here we go! Deal in place for €30m package add-ons included. 🚨🔴🍒 #transfers

Personal terms agreed, medical tests booked. Traoré will join Bournemouth on #DeadlineDay. https://t.co/owzD9TOWz7",15946,2023-01-30 19:56:16+00:00,https://t.co/OdP0Zf93pV,['http://pbs.twimg.com/media/Fnvs2VTWICMVpf2.jpg']
31,"Nottingham Forest are closing in on deal to sign Felipe from Atletico, here we go expected soon 🚨🔴🌳 #NFFC

Bayer Leverkusen tried today but now Forest are close to full agreement for the centre back.

⚪️🔴 Atlético Madrid will push to anticipate Soyüncü deal on Deadline Day. https://t.co/22XGrybahb",18775,2023-01-30 16:53:57+00:00,https://t.co/aLESPmodhB,['http://pbs.twimg.com/media/FnvDH0uXEBY_7HC.jpg']
32,"Bayern have completed the agreement to sign João Cancelo, here we go! Deal set to be completed on loan plus €70m buy option clause 🚨🔴 #FCBayern

Cancelo told Pep Guardiola that he wanted to leave.

Medical tests later tonight.

Boarding completed - Munich ✈️  @TurkishAirlines https://t.co/TiQMyMWhwq",99885,2023-01-30 15:02:47+00:00,https://t.co/H1nIXbwbjt,['http://pbs.twimg.com/media/FnuprN7WYAE7hzw.jpg']
33,"Saša Lukic to Fulham, here we go! Full agreement now in place also on player side — €10m fee to Torino ⚪️⚫️🇷🇸 #FulhamFC

Medical tests will take place in the next hours in order to get it sealed today.

Torino have announced the signing of Ivan Ilić from Verona, done deal. https://t.co/lpeK1Wk4zq",11459,2023-01-30 12:05:02+00:00,https://t.co/WQVjSgqSUf,['http://pbs.twimg.com/media/FnuA_LiX0AIk25N.jpg']
34,"Rangers have reached full agreement to sign Nicolas Raskin, here we go! Deal in place with Standard Liegi on permanent move 🚨🔵 #RangersFC

Paperworks between clubs today, while personal terks are already agreed. Been told contract will be valid until 2027. https://t.co/OdP0Zf93pV",18519,2023-01-30 08:42:28+00:00,https://t.co/mY1g6Fuql0,['http://pbs.twimg.com/media/FntSoNJXkAApfCZ.jpg']
35,"Sevilla are closing in on deal to sign Bryan Gil from Tottenham, as revealed earlier tonight — here we go soon! 🚨⚪️🔴 #SevillaFC

Loan move until June, no buy option — Bryan will be back at end of season.

Sampaoli called the player, crucial to get it done.

Medical booked. https://t.co/aLESPmodhB",13174,2023-01-29 22:06:31+00:00,https://t.co/oLyGH7Vg7U,['http://pbs.twimg.com/media/FnrBEmSWYAol1ms.jpg']
36,"Milan Škriniar has already signed as Paris Saint-Germain player — it’s 100% done for June 2023 on a free transfer, here we go 🚨🔴🔵 #PSG

Paris Saint-Germain have submitted an opening bid to anticipate Škriniar deal in January but Inter want €20m fee.

Talks will continue soon. https://t.co/H1nIXbwbjt",23085,2023-01-28 20:43:54+00:00,https://t.co/PAVcnzwmsB,['http://pbs.twimg.com/media/FnlkkjDXEAAkkCI.jpg']
37,"Tottenham reach full verbal agreement with Sporting to sign Pedro Porro, here we go! It will be sealed in the next 24h, if all goes to plan ⚪️🤝🏻 #THFC

Pedro Porro will say goodbye tonight and then sign with Spurs until 2028.

Boarding completed - London ✈️  @TurkishAirlines https://t.co/WQVjSgqSUf",41732,2023-01-28 20:18:01+00:00,https://t.co/Ht3TBaT2tC,['http://pbs.twimg.com/media/FnlepfcXgAAIKL_.jpg']
38,"RT @FabrizioRomano: Weston McKennie to Leeds, here we go! Understand Leeds will pay €1.2m loan fee — deal will include buy option clause fo…",0,2023-01-28 14:46:31+00:00,https://t.co/wx09DVSIol,[]
39,"Weston McKennie to Leeds, here we go! Understand Leeds will pay €1.2m loan fee — deal will include buy option clause for €33m plus add ons 🚨⚪️🇺🇸 #LUFC

Leeds president Radrizzani unlocked the deal with Juventus in the night.

McKennie has agreed personal terms with Leeds. https://t.co/mY1g6Fuql0",43469,2023-01-28 13:41:38+00:00,https://t.co/rRbq7p5AxE,['http://pbs.twimg.com/media/FnkD6e-XgAQFau5.jpg']
40,"Tetê, flying to England in the morning as he will undergo medical tests and sign as new Leicester player — here we go confirmed 🔵🦊🇧🇷 #LCFC

Deal set to be completed, as revealed yesterday. https://t.co/oLyGH7Vg7U",16831,2023-01-28 11:02:51+00:00,https://t.co/MHcj6Xai0p,['http://pbs.twimg.com/media/Fnjfk9rXkAEa1dy.jpg']
41,"Malo Gusto to Chelsea, here we go! Medical tests have been scheduled tomorrow in order to seal the deal — he’s joining in June 2023 alongside Nkunku 🚨🔵🇫🇷 #CFC

OL will receive €30m plus add-ons and keep the player on loan.

Boarding completed - ✈️ London
@TurkishAirlines https://t.co/PAVcnzwmsB",62056,2023-01-27 19:51:06+00:00,https://t.co/GkyefR8ern,['http://pbs.twimg.com/media/FngO5b6XEAwEqRI.jpg']
42,"Chelsea are closing in on Malo Gusto deal with Olympique Lyon, deal now at final stages — he will stay at OL until the end of the season 🚨🔵 #CFC

Chelsea wanted him now but for OL only way was summer move, as called by @FabriceHawkins.

Final details then… here we go soon. https://t.co/Ht3TBaT2tC",27155,2023-01-27 18:48:03+00:00,https://t.co/83i0zWaBEO,['http://pbs.twimg.com/media/FngAd1dXoAAVkrA.jpg']
43,"Azzedine Ounahi will join Olympique Marseille, done deal and here we go! 🚨⚪️🔵🇲🇦 #OM

Full agreement reached with Angers — understand fee is €8m plus €2m add ons and sell-on clause included.

Ounahi has agreed personal terms as new OM player until June 2027. https://t.co/wx09DVSIol",26960,2023-01-27 17:04:36+00:00,https://t.co/6Pouu15ioh,['http://pbs.twimg.com/media/FnfoyBnXkBkpnsj.jpg']
44,"OL are set to sign Wilson Isidor from Lokomotiv Moscow, here we go 🔴🔵 #OL

The player will fly to France in the next hours and will become new OL striker.

Deal done on loan for €750k fee plus mandatory buy option for €5M — it will be related to number of games. https://t.co/rRbq7p5AxE",8490,2023-01-27 16:04:02+00:00,https://t.co/vILccQk8nR,['http://pbs.twimg.com/media/Fnfa6x1aUAEiAx0.jpg']
45,"Newcastle have reached an agreement to sign Anthony Gordon, here we go! Deal in place on £40m fee, Everton accepted the proposal 🚨⚪️⚫️ #NUFC

Personal terms also agreed on long term deal.

Gordon will complete medical tests in the next 24/48 hours, as called by @SkySports_Keith. https://t.co/MHcj6Xai0p",46261,2023-01-27 16:00:09+00:00,https://t.co/gkNunnHpTe,['http://pbs.twimg.com/media/FnfaCSDXgAMoZRc.jpg']
46,"…from here we go 😉⭐️ good luck Cody!

@LutonTown ⤵️ https://t.co/AIW1N8QCqg",10913,2023-01-26 18:23:36+00:00,https://t.co/Tn6l1r4eUX,[]
47,"Cedric Soares to Fulham, on the verge of being completed as Arsenal are now checking final details then here we go ⚪️⚫️ #Fulham #AFC

▫️ Loan until the end of the season;
▫️ No buy option clause in June;
▫️ Full salary covered by Fulham.

Marco Silva, key to complete the deal. https://t.co/GkyefR8ern",13458,2023-01-25 14:00:02+00:00,https://t.co/P2BGCDSX3I,['http://pbs.twimg.com/media/FnUrWuPXEAQVh8S.jpg']
48,"Danjuma to Tottenham, here we go! Deal agreed — hijack completed after player did medical tests and media as new Everton signing last weekend 🚨⚪️ #THFC

Loan deal agreed with Villarreal — he’s on his way for medical with Spurs.

Boarding completed - ✈️ London
@TurkishAirlines https://t.co/83i0zWaBEO",60963,2023-01-24 15:15:58+00:00,https://t.co/Y3wuqoHPCf,['http://pbs.twimg.com/media/FnPzJoXXkAE-NXI.jpg']
49,"Bournemouth are now set to sign Nico Jackson, here we go! Full agreement on personal terms and between clubs with Villarreal for €23m fee plus €2.5m add ons 🚨🍒 #transfers

One more big signing for Bournemouth after Ouattara, Nico Jackson will be in UK for medical tests soon. https://t.co/6Pouu15ioh",11584,2023-01-24 11:58:52+00:00,https://t.co/sdrizsfUjz,['http://pbs.twimg.com/media/FnPGB6BXEAEdb3h.jpg']
50,"Oscar Gloukh to RB Salzburg, done deal and here we go! Full agreement in place on €7m fee, personal terms agreed too. Israeli talent will join Salzburg from Maccabi Tel Aviv ⭐️ #transfers 

Barcelona tried to sign Gloukh as Benfica, Udinese and Borussia Dortmund but no way. https://t.co/vILccQk8nR",12403,2023-01-24 09:12:30+00:00,https://t.co/qOvTAYhkbw,['http://pbs.twimg.com/media/FnNLc00XwAEX37N.jpg']
51,"Official and here we go now confirmed. Argentine talent Máximo Perrone joins Manchester City from Vélez on €9m deal. Contract until June 2028. ⭐️🇦🇷 #MCFC

Pep Guardiola spoke about Perrone with Argentina Sub20 coach Javier Mascherano… and now he will be City player. https://t.co/gkNunnHpTe",17163,2023-01-23 19:00:36+00:00,https://t.co/k11Cz1teSi,['http://pbs.twimg.com/media/FnLc-RoWABcds7H.jpg']
52,"RT @FabrizioRomano: Ivan Ilić to Olympique Marseille, here we go! Exclusive news confirmed — OM are closing in on deal to sign top talented…",0,2023-01-22 22:41:19+00:00,https://t.co/rYcv5UCSJb,[]
53,"Ivan Ilić to Olympique Marseille, here we go! Exclusive news confirmed — OM are closing in on deal to sign top talented midfielder from Verona. 🚨🔵 #OM

Details: contract until 2028, €15m fee plus €2/3m add ons. Final steps before it’s signed.

Ilić will join in June, not now. https://t.co/Tn6l1r4eUX",16584,2023-01-22 18:58:12+00:00,https://t.co/azT7NYziwL,['http://pbs.twimg.com/media/FnGS1pNWYAI6H1T.jpg']
54,"Manchester City have completed the signing of Argentinian talent Máximo Perrone — documents are signed on clubs/player side, here we go confirmed 🚨🔵🇦🇷 #MCFC

Perrone joins Man City until June 2028 from Vélez — done deal as revealed in December, now completed &amp; official soon. https://t.co/P2BGCDSX3I",30576,2023-01-21 18:42:00+00:00,https://t.co/AKRbkXjEyR,['http://pbs.twimg.com/media/FnBFifYXkAMGpkt.jpg']
55,"Josip Juranović to Union Berlin, here we go confirmed after news revealed on Friday! 🚨🔴🇭🇷 #transfers

Understand Juranović will undergo the medical tests on Sunday. €8m fixed fee plus add-ons to Celtic.

Contract will be valid until June 2027. https://t.co/Y3wuqoHPCf",13259,2023-01-21 13:39:31+00:00,https://t.co/pHnAZP4gce,['http://pbs.twimg.com/media/FnAATeiWQAY9K3c.jpg']
56,"🚨 Understand Youssufa Moukoko will sign new deal with Borussia Dortmund today. It’s done deal, here we go 🟡⚫️ #BVB

Moukoko will extend his contract until June 2026 — top talent had many bids but decided to stay despite fake news on salary, as Moukoko loves BVB.

Official soon. https://t.co/sdrizsfUjz",24795,2023-01-21 11:19:07+00:00,https://t.co/BPk9wUamlA,['http://pbs.twimg.com/media/Fm_gLDaWAAA1EK7.jpg']
57,"RT @FabrizioRomano: EXCL: Danjuma to Everton, here we go! Full agreement reached during the night and details now sorted. It’s done deal, D…",0,2023-01-21 10:10:29+00:00,https://t.co/2NnP1PNeiM,[]
58,"Brighton are set to sign Swedish midfielder Yasin Ayari, deal agreed with AIK and here we go - agreement for fee around €6m, as reported by @DKristoffersson 🔵🇸🇪 #BHAFC 

Ayari will fly to England in the next days with his agents to undergo medical tests and sign the contract. https://t.co/qOvTAYhkbw",21237,2023-01-21 09:13:00+00:00,https://t.co/kGFk5DN3kt,['http://pbs.twimg.com/media/Fm91FHPXoAAHvCK.jpg']
59,"Late night here we go confirmed. Danjuma, now set to undergo medical tests in Merseyside after approving Everton move around 1am - contracts sealed between Villarreal and Everton for loan deal. 🔵🩺

French, Dutch, English club wanted him - Danjuma to #EFC will be official soon. https://t.co/k11Cz1teSi",17089,2023-01-21 07:56:30+00:00,https://t.co/2iNqjyVwl6,['http://pbs.twimg.com/media/Fm9zCFBWAAYqaL2.jpg']
60,"EXCL: Danjuma to Everton, here we go! Full agreement reached during the night and details now sorted. It’s done deal, Danjuma’s back to Premier League 🚨🚨🔵 #EFC

Understand the medical tests will take place on Saturday morning.

Straight loan from Villarreal, NO buy option. https://t.co/rYcv5UCSJb",32954,2023-01-21 01:47:50+00:00,https://t.co/Sdg2JMXJIa,['http://pbs.twimg.com/media/Fm9daKCXgAAU7U8.jpg']
61,@tonyf_efc what’s better than a late night here we go with exclusive news? 👀👀👀,166,2023-01-21 01:46:33+00:00,https://t.co/O1IrrAFkVo,[]
62,"Excl: Croatia international right back Josip Juranović close to joining Union Berlin from Celtic, talks very advanced between clubs and player side. 🚨🇭🇷 #transfers

Negotiations are at final stages — here we go expected soon. https://t.co/azT7NYziwL",18885,2023-01-20 20:59:04+00:00,https://t.co/0G8mMEOihy,['http://pbs.twimg.com/media/Fm8bUWQXgA4isju.jpg']
63,"Vincent Aboubakar, on his way to the airport right now — then he will land in Instabul to undergo medical tests and sign as new Besiktas player, here we go confirmed! ⚪️⚫️✈️ #Besiktas

All signed with Al Nassr, the deal is completed. https://t.co/AKRbkXjEyR",48037,2023-01-20 20:10:40+00:00,https://t.co/NvkEp4AD9N,['http://pbs.twimg.com/media/Fm8QPiWX0AUvCJi.jpg']
